LEVEL2,LEVEL1,ALTERNATIVE,STATUS,STATUS NOTE,ITEMID,MIMIC LABEL,UNITNAME,LINKSTO,COUNT,CATEGORY,CONCEPTID,FLUID,LOINC_CODE,DBSOURCE,,PARAM_TYPE,NOTE,M_E_APPENDIXB
Calcium,Calcium (body fluid),,verify,,51029,"CALCIUM, BODY FLUID",,labevents,9,CHEMISTRY,,OTHER BODY FLUID,15155-5,,,,,0
Calcium,Calcium (total),Total Calcium,ready,,50893,"CALCIUM, TOTAL",,labevents,591999,CHEMISTRY,,BLOOD,08/01/2000,,,,,0
Calcium,Calcium non-ionized,,ready,,225625,Calcium non-ionized,None,chartevents,135036,Labs,,,,metavision,,Numeric,,1
Calcium ionized,Calcium ionized,,ready,,50808,FREE CALCIUM,,labevents,249111,BLOOD GAS,,BLOOD,03/01/1994,,,,,0
Calcium ionized,Calcium ionized,,ready,,816,Ionized Calcium,,chartevents,148637,Chemistry,,,,carevue,,,,1
Calcium ionized,Calcium ionized,,ready,,225667,Ionized Calcium,None,chartevents,80126,Labs,,,,metavision,,Numeric,,1
Calcium Ionized,Calcium Ionized,,verify,,3766,Ion Calcium,,chartevents,95,ABG's,,,,carevue,,,,0
Calcium urine,Calcium,,verify,,51066,24 HR CALCIUM,,labevents,91,CHEMISTRY,,URINE,02/01/1974,,,,,0
Calcium urine,Calcium (urine),,ready,,51077,"CALCIUM, URINE",,labevents,887,CHEMISTRY,,URINE,2004-0,,,,,0
Capillary refill rate,Capillary refill rate,CRR,ready,,3348,Capillary Refill,,chartevents,440467,,,,,carevue,,Binary,,0
Capillary refill rate,Capillary refill rate,CRR,ready,,115,Capillary Refill [Right],,chartevents,18631,,,,,carevue,,,,0
Capillary refill rate,Capillary refill rate,CRR,ready,,8377,Capillary Refill [Left],,chartevents,17172,,,,,carevue,,,,0
Chloride,Chloride,,ready,,788,Chloride (100-112),,chartevents,194344,Chemistry,,,,carevue,,,,1
Chloride,Chloride,,ready,,1523,Chloride,,chartevents,151836,Chemistry,,,,carevue,,,,1
Chloride,Chloride,,verify,,3747,Chloride  (100-112),,chartevents,15738,Chemistry,,,,carevue,,,,0
Chloride,Chloride,,verify,not visible from query specifying population as >15 years etc; verify another way,4193,ABG Chloride,,chartevents,57,ABG's,,,,carevue,,,,0
Chloride,Chloride (ascites),,verify,same as 4193,50839,"CHLORIDE, ASCITES",,labevents,45,CHEMISTRY,,ASCITES,33366-6,,,,,0
Chloride,Chloride (body fluid),,verify,same as 4193,51030,"CHLORIDE, BODY FLUID",,labevents,65,CHEMISTRY,,OTHER BODY FLUID,07/01/1972,,,,,0
Chloride,Chloride (CSF),,verify,same as 4193,51013,"CHLORIDE, CSF",,labevents,0,CHEMISTRY,,CEREBROSPINAL FLUID (CSF),,,,Numeric,,0
Chloride,Chloride (pleural),,verify,same as 4193,51050,"CHLORIDE, PLEURAL",,labevents,11,CHEMISTRY,,PLEURAL,53627-6,,,,,0
Chloride,Chloride (serum),,ready,same as 4193,220602,Chloride (serum),None,chartevents,160843,Labs,,,,metavision,,,,1
Chloride,Chloride (stool),,verify,same as 4193,51062,"CHLORIDE, STOOL",,labevents,61,CHEMISTRY,,STOOL,15158-9,,,Binary,,0
Chloride,Chloride (whole blood),,ready,,226536,Chloride (whole blood),None,chartevents,12020,Labs,,,,metavision,,,,1
Chloride,Chloride,,ready,,50902,CHLORIDE,,labevents,795568,CHEMISTRY,,BLOOD,2075-0,,,,,0
Chloride,Chloride (whole blood),,ready,,50806,"CHLORIDE, WHOLE BLOOD",,labevents,48187,BLOOD GAS,,BLOOD,03/01/1969,,,Numeric,,0
Chloride urine,Chloride (urine),,ready,note: may need to change to excreted chloride in the future to incorporate stool etc. and also separate other specific chlorides from whole blood,51078,"CHLORIDE, URINE",,labevents,9607,CHEMISTRY,,URINE,04/01/1978,,,Numeric,,0
Cholesterol,Cholesterol,,ready,,789,Cholesterol (<200),,chartevents,2410,Chemistry,,,,carevue,,,,1
Cholesterol,Cholesterol,,ready,,1524,Cholesterol,,chartevents,1812,Chemistry,,,,carevue,,,,1
Cholesterol,Cholesterol,,ready,,220603,Cholesterol,None,chartevents,1567,Labs,,,,metavision,,,,1
Cholesterol,Cholesterol,,verify,,3748,Cholesterol (0-199),,chartevents,6,Chemistry,,,,carevue,,,,0
Cholesterol,Cholesterol (ascites),,verify,,50840,"CHOLESTEROL, ASCITES",,labevents,7,CHEMISTRY,,ASCITES,14441-0,,,,,0
Cholesterol,Cholesterol (body fluid),,verify,,51031,"CHOLESTEROL, BODY FLUID",,labevents,9,CHEMISTRY,,OTHER BODY FLUID,12183-0,,,,,0
Cholesterol,Cholesterol (total),,ready,,50907,"CHOLESTEROL, TOTAL",,labevents,19444,CHEMISTRY,,BLOOD,03/01/1993,,,,,0
Cholesterol HDL,Cholesterol (HDL),HDL Cholesterol,ready,,50904,"CHOLESTEROL, HDL",,labevents,18260,CHEMISTRY,,BLOOD,09/01/1985,,,,,0
Cholesterol LDL,Cholesterol (LDL),LDL Cholesterol,ready,,50905,"CHOLESTEROL, LDL, CALCULATED",,labevents,16486,CHEMISTRY,,BLOOD,09/01/1990,,,,,0
Cholesterol LDL,Cholesterol (LDL),LDL Cholesterol,ignore,,50906,"CHOLESTEROL, LDL, MEASURED",,labevents,2001,CHEMISTRY,,BLOOD,18262-6,,,Binary,,0
Cholesterol Pleural,Cholesterol (pleural),,ignore,,51051,"CHOLESTEROL, PLEURAL",,labevents,330,CHEMISTRY,,PLEURAL,9618-0,,,,,0
"CO2 (ETCO2, PCO2, etc.)","CO2 (ETCO2, PCO2, etc.)",,ready,,50804,CALCULATED TOTAL CO2,,labevents,490685,BLOOD GAS,,BLOOD,06/01/1959,,,Numeric,,0
"CO2 (ETCO2, PCO2, etc.)","CO2 (ETCO2, PCO2, etc.)",,ready,,777,Arterial CO2(Calc),,chartevents,280017,ABG,,,,carevue,,,,1
"CO2 (ETCO2, PCO2, etc.)","CO2 (ETCO2, PCO2, etc.)",TCO2 (calc) Arterial,ready,,225698,TCO2 (calc) Arterial,None,chartevents,140179,Labs,,,,metavision,,,,1
"CO2 (ETCO2, PCO2, etc.)","CO2 (ETCO2, PCO2, etc.)",,maybe,,3810,Total CO2,,chartevents,21720,Chemistry,,,,carevue,,,,0
"CO2 (ETCO2, PCO2, etc.)","CO2 (ETCO2, PCO2, etc.)",,maybe,,3808,TCO2        (21-30),,chartevents,9233,Chemistry,,,,carevue,,,,0
"CO2 (ETCO2, PCO2, etc.)","CO2 (ETCO2, PCO2, etc.)",,ready,,857,Venous CO2(Calc),,chartevents,8970,VBG'S,,,,carevue,,,,1
"CO2 (ETCO2, PCO2, etc.)","CO2 (ETCO2, PCO2, etc.)",,maybe,,3809,TCO2 (other),,chartevents,8435,Other ABGs,,,,carevue,,,,0
"CO2 (ETCO2, PCO2, etc.)","CO2 (ETCO2, PCO2, etc.)",,maybe,,4199,TCO2 (cap),,chartevents,8097,Other ABGs,,,,carevue,,,,0
"CO2 (ETCO2, PCO2, etc.)","CO2 (ETCO2, PCO2, etc.)",TCO2 (calc) Venous,ready,,223679,TCO2 (calc) Venous,None,chartevents,4318,Labs,,,,metavision,,,,1
"CO2 (ETCO2, PCO2, etc.)","CO2 (ETCO2, PCO2, etc.)",,maybe,,3773,Mix Venous CO2(calc),,chartevents,989,Mixed VBGs,,,,carevue,,,,0
"CO2 (ETCO2, PCO2, etc.)","CO2 (ETCO2, PCO2, etc.)",,maybe,,3830,Venous CO2,,chartevents,886,Venous ABG,,,,carevue,,,,0
"CO2 (ETCO2, PCO2, etc.)","CO2 (ETCO2, PCO2, etc.)",,maybe,,3832,Venous TCO2,,chartevents,881,Venous ABG,,,,carevue,,,,0
CO2,CO2,,ready,,787,Carbon Dioxide,,chartevents,193987,Chemistry,,,,carevue,,,,1
Creatinine,Creatinine,,ready,,791,Creatinine (0-1.3),,chartevents,196677,Chemistry,,,,carevue,,,,1
Creatinine,Creatinine,,ready,,1525,Creatinine,,chartevents,153297,Chemistry,,,,carevue,,,,1
Creatinine,Creatinine,,ready,,220615,Creatinine,None,chartevents,153010,Labs,,,,metavision,,,,1
Creatinine,Creatinine,,ready,,50912,CREATININE,,labevents,797476,CHEMISTRY,,BLOOD,2160-0,,,,,0
Creatinine,Creatinine,,verify,,3750,Creatinine   (0-0.7),,chartevents,2103,Chemistry,,,,carevue,,,,0
Creatinine ascites,Creatinine (ascites),,ready,,50841,"CREATININE, ASCITES",,labevents,520,CHEMISTRY,,ASCITES,12191-3,,,,,0
Creatinine body fluid,Creatinine (body fluid),,ready,,51032,"CREATININE, BODY FLUID",,labevents,320,CHEMISTRY,,OTHER BODY FLUID,12190-5,,,,,0
Creatinine pleural,Creatinine (pleural),,ready,,51052,"CREATININE, PLEURAL",,labevents,293,CHEMISTRY,,PLEURAL,14399-0,,,,,0
Creatinine urine,Creatinine,,verify,,51067,24 HR CREATININE,,labevents,653,CHEMISTRY,,URINE,06/01/1962,,,,,0
Creatinine urine,Creatinine (serum),,verify,,51081,"CREATININE, SERUM",,labevents,150,CHEMISTRY,,URINE,,,,Numeric,,0
Creatinine urine,Creatinine (urine),,ready,,51082,"CREATININE, URINE",,labevents,33069,CHEMISTRY,,URINE,08/01/1961,,,,,0
Creatinine urine,Creatinine (urine),,verify,,51106,URINE CREATININE,,labevents,151,CHEMISTRY,,URINE,,,,,,0
Creatinine urine,Creatinine clearance,,verify,,51080,CREATININE CLEARANCE,,labevents,150,CHEMISTRY,,URINE,33558-8,,,Numeric,,0
Diastolic blood pressure,Diastolic blood pressure (arterial),ABPd,ready,,8368,Arterial BP [Diastolic],,chartevents,2088638,,,,,carevue,,,,1
Diastolic blood pressure,Diastolic blood pressure (arterial),ABPd,ready,,220051,Arterial Blood Pressure diastolic,mmHg,chartevents,1149537,Routine Vital Signs,,,,metavision,,,,1
Diastolic blood pressure,Diastolic blood pressure (arterial),ABPd,ready,,225310,ART BP Diastolic,mmHg,chartevents,86507,Routine Vital Signs,,,,metavision,,Numeric,,1
Diastolic blood pressure,Diastolic blood pressure (arterial),ABPd,ready,,8555,Arterial BP #2 [Diastolic],,chartevents,18820,,,,,carevue,,,,1
Diastolic blood pressure,Diastolic blood pressure (noninvasive),NBPd,ready,,8441,NBP [Diastolic],,chartevents,1580652,,,,,carevue,,,,1
Diastolic blood pressure,Diastolic blood pressure (noninvasive),NBPd,ready,,220180,Non Invasive Blood Pressure diastolic,mmHg,chartevents,1289885,Routine Vital Signs,,,,metavision,,,,1
Diastolic blood pressure,Diastolic blood pressure (noninvasive),NBPd,ready,,8502,BP Cuff [Diastolic],,chartevents,147419,,,,,carevue,,Numeric,,0
Diastolic blood pressure,Diastolic blood pressure (noninvasive),NBPd,ready,,8440,Manual BP [Diastolic],,chartevents,2152,,,,,carevue,,,,1
Diastolic blood pressure,Diastolic blood pressure (noninvasive),NBPd,ready,,8503,BP Left Arm [Diastolic],,chartevents,1921,,,,,carevue,,,,0
Diastolic blood pressure,Diastolic blood pressure (noninvasive),NBPd,ready,,8504,BP Left Leg [Diastolic],,chartevents,1530,,,,,carevue,,,,0
Diastolic blood pressure,Diastolic blood pressure (noninvasive),NBPd,ready,,8507,BP Right Leg [Diastolic],,chartevents,1520,,,,,carevue,,,,0
Diastolic blood pressure,Diastolic blood pressure (noninvasive),NBPd,ready,,8506,BP Right Arm [Diastolic],,chartevents,1514,,,,,carevue,,,,0
Diastolic blood pressure,Diastolic blood pressure (noninvasive),NBPd,ready,,224643,Manual Blood Pressure Diastolic Left,mmHg,chartevents,671,Routine Vital Signs,,,,metavision,,,,1
Eosinophils,Eosinophils,,verify,,3754,Eosinophils,,chartevents,8364,Heme/Coag,,,,carevue,,,,0
Eosinophils,Eosinophils,,verify,,51474,EOSINOPHILS,,labevents,3365,HEMATOLOGY,,URINE,25156-1,,,,,0
Eosinophils,Eosinophils,,ready,,51444,EOSINOPHILS,,labevents,778,HEMATOLOGY,,PLEURAL,30379-2,,,,,0
Eosinophils,Eosinophils,,ready,,51347,EOSINOPHILS,,labevents,655,HEMATOLOGY,,CEREBROSPINAL FLUID (CSF),26451-5,,,,,0
Eosinophils,Eosinophils,,ready,,51419,EOSINOPHILS,,labevents,601,HEMATOLOGY,,OTHER BODY FLUID,26452-3,,,,,0
Eosinophils,Eosinophils,,ready,,51114,EOSINOPHILS,,labevents,566,HEMATOLOGY,,ASCITES,30380-0,,,,,0
Eosinophils,Eosinophils,,verify,,51368,EOSINOPHILS,,labevents,83,HEMATOLOGY,,JOINT FLUID,17834-3,,,,,0
Fraction inspired oxygen,Fraction inspired oxygen,FiO2,ready,requires unit conversion or checking,3420,FIO2,,chartevents,673729,,,,,carevue,,,,0
Fraction inspired oxygen,Fraction inspired oxygen,FiO2,ready,requires unit conversion or checking,223835,Inspired O2 Fraction,None,chartevents,558061,Respiratory,,,,metavision,,Numeric,,1
Fraction inspired oxygen,Fraction inspired oxygen,FiO2,ready,requires unit conversion or checking,3422,FIO2 [Meas],,chartevents,242256,,,,,carevue,,,,0
Fraction inspired oxygen,Fraction inspired oxygen,FiO2,ready,requires unit conversion or checking,189,FiO2 (Analyzed),,chartevents,7644,,,,,carevue,,,,1
Fraction inspired oxygen,Fraction inspired oxygen,FiO2,ready,requires unit conversion or checking,727,Vision FiO2,,chartevents,544,,,,,carevue,,Numeric,,1
Fraction inspired oxygen Set,Fraction inspired oxygen Set,,ready,,190,FiO2 Set,,chartevents,573606,,,,,carevue,,,,1
Fraction inspired oxygen Set,Fraction inspired oxygen Set,,ignore,,7570,FIO2 SET,,chartevents,2,,,,,carevue,,,,0
Glascow coma scale eye opening,Glascow coma scale eye opening,GCS eye,verify,should we just add these up?,184,Eye Opening,,chartevents,956672,,,,,carevue,,,,0
Glascow coma scale eye opening,Glascow coma scale eye opening,GCS eye,verify,should we just add these up?,220739,GCS - Eye Opening,,chartevents,571383,Neurological,,,,metavision,,,,0
Glascow coma scale motor response,Glascow coma scale motor response,GCS motor,verify,should we just add these up?,454,Motor Response,,chartevents,952565,,,,,carevue,,,,0
Glascow coma scale motor response,Glascow coma scale motor response,GCS motor,verify,should we just add these up?,223901,GCS - Motor Response,,chartevents,569369,Neurological,,,,metavision,,,,0
Glascow coma scale total,Glascow coma scale total,GCS total,ready,,198,GCS Total,,chartevents,948148,,,,,carevue,,,,1
Glascow coma scale verbal response,Glascow coma scale verbal response,GCS verbal,verify,should we just add these up?,723,Verbal Response,,chartevents,954700,,,,,carevue,,,,0
Glascow coma scale verbal response,Glascow coma scale verbal response,GCS verbal,verify,should we just add these up?,223900,GCS - Verbal Response,,chartevents,569810,Neurological,,,,metavision,,,,0
Glucose,Glucose,,ready,,50931,GLUCOSE,,labevents,748981,CHEMISTRY,,BLOOD,07/01/1945,,,,,0
Glucose,Glucose,,ready,,807,Fingerstick Glucose,,chartevents,436622,Chemistry,,,,carevue,,,,1
Glucose,Glucose,,ready,,811,Glucose (70-105),,chartevents,381822,Chemistry,,,,carevue,,,,1
Glucose,Glucose,,ready,,1529,Glucose,,chartevents,286600,Chemistry,,,,carevue,,,,1
Glucose,Glucose,,ready,,50809,GLUCOSE,,labevents,196734,BLOOD GAS,,BLOOD,2339-0,,,Numeric,,0
Glucose urine,Glucose,,verify,,51478,GLUCOSE,,labevents,101279,HEMATOLOGY,,URINE,07/01/1992,,,,,0
Glucose,Glucose,,ready,,3745,BloodGlucose,,chartevents,2655,Quick Admit,,,,carevue,,,,0
Glucose,Glucose (finger stick),,ready,,225664,Glucose finger stick,None,chartevents,247833,Labs,,,,metavision,,,,1
Glucose,Glucose (serum),,ready,,220621,Glucose (serum),None,chartevents,155071,Labs,,,,metavision,,,,1
Glucose,Glucose (whole blood),,ready,,226537,Glucose (whole blood),None,chartevents,71057,Labs,,,,metavision,,,,1
Heart Rate,Heart Rate,HR,ready,,211,Heart Rate,,chartevents,5190683,,,,,carevue,,,,1
Heart Rate,Heart Rate,HR,ready,,220045,Heart Rate,bpm,chartevents,2762225,Routine Vital Signs,,,,metavision,,Numeric with tag,,1
Height,Height,Height,ready,requires unit conversion or checking,226707,Height,Inch,chartevents,12015,General,,,,metavision,,,,1
Height,Height (cm),Height (cm),ready,requires unit conversion or checking,226730,Height (cm),cm,chartevents,12015,General,,,,metavision,,,,1
Height,Height (in),Height (in),ready,requires unit conversion or checking,1394,Height Inches,,chartevents,26,,,,,carevue,,,,1
Hematocrit,Hematocrit,HCT,ready,,813,Hematocrit,,chartevents,275105,Hematology,,,,carevue,,,,1
Hematocrit,Hematocrit,HCT,verify,,3761,Hematocrit (35-51),,chartevents,12517,ABG'S,,,,carevue,,Numeric with tag,,0
Hematocrit,Hematocrit (serum),HCT (serum),ready,,220545,Hematocrit (serum),None,chartevents,165862,Labs,,,,metavision,,,,1
Hematocrit,Hematocrit,HCT,ready,,51221,HEMATOCRIT,,labevents,881846,HEMATOLOGY,,BLOOD,03/01/1944,,,,,0
Hematocrit,Hematocrit,HCT,ready,,50810,"HEMATOCRIT, CALCULATED",,labevents,89715,BLOOD GAS,,BLOOD,20570-8,,,,,0
Hemoglobin,Hemoglobin,,ready,,814,Hemoglobin,,chartevents,188568,Hematology,,,,carevue,,Numeric,,1
Hemoglobin,Hemoglobin,,ready,,220228,Hemoglobin,g/dl,chartevents,137117,Labs,,,,metavision,,Numeric,,1
Hemoglobin,Hemoglobin,,verify,,50855,ABSOLUTE HEMOGLOBIN,,labevents,3791,CHEMISTRY,,BLOOD,718-7,,,,,0
Hemoglobin,Hemoglobin,,ready,,51222,HEMOGLOBIN,,labevents,752523,HEMATOLOGY,,BLOOD,718-7,,,,,0
Hemoglobin,Hemoglobin,,ready,,50811,HEMOGLOBIN,,labevents,89712,BLOOD GAS,,BLOOD,718-7,,,Numeric with tag,,0
Hemoglobin percent,Hemoglobin,,verify,,50852,% HEMOGLOBIN A1C,,labevents,16618,CHEMISTRY,,BLOOD,04/01/1948,,,,,0
Lactate,Lactate,,ready,,50813,LACTATE,,labevents,187124,BLOOD GAS,,BLOOD,32693-4,,,Numeric with tag,,0
Lactate dehydrogenase,Lactate dehydrogenase,LDH,ready,,50954,LACTATE DEHYDROGENASE (LD),,labevents,107122,CHEMISTRY,,BLOOD,2532-0,,,,,0
Lactate dehydrogenase pleural,Lactate dehydrogenase,LDH,ready,,51054,"LACTATE DEHYDROGENASE, PLEURAL",,labevents,2502,CHEMISTRY,,PLEURAL,30/01/2004,,,,,0
Lactic acid,Lactic acid,,ready,,818,Lactic Acid(0.5-2.0),,chartevents,73574,Chemistry,,,,carevue,,,,1
Lactic acid,Lactic acid,,ready,,225668,Lactic Acid,None,chartevents,69432,Labs,,,,metavision,,,,1
Lactic acid,Lactic acid,,ready,,1531,Lactic Acid,,chartevents,63478,Chemistry,,,,carevue,,,,1
Lymphocytes,Lymphocytes,,ready,,51244,LYMPHOCYTES,,labevents,172149,HEMATOLOGY,,BLOOD,731-0,,,,,0
Lymphocytes,Lymphocytes (absolute),,verify,,51133,ABSOLUTE LYMPHOCYTE COUNT,,labevents,2377,HEMATOLOGY,,BLOOD,26474-7,,,,,0
Lymphocytes,Lymphocytes (atypical),,verify,,51385,ATYPICAL LYMPHOCYTES,,labevents,68,HEMATOLOGY,,OTHER BODY FLUID,30417-0,,,,,0
Lymphocytes,Lymphocytes (atypical),,verify,,51365,ATYPICAL LYMPHOCYTES,,labevents,17,HEMATOLOGY,,JOINT FLUID,33371-6,,,,,0
